date,home_value,mortgage_balance,mortgage_payment,maintenance,owner_outflow,rent,portfolio,net_flow,buy_equity
2013-08-31,195209.82139745622,121500.43788715263,648.4667192972919,244.01227674682028,892.4789960441121,820.1094267293953,73270.06725352141,72.36956931471684,73709.3835103036
2013-09-30,196268.82070047068,121167.37981260725,644.2768498150266,245.33602587558835,889.6128756906149,820.8599059069523,70374.98893662286,68.75296978366259,75101.44088786343
2013-10-31,195706.50287506555,120830.77549587851,641.3024416220827,244.63312859383194,885.9355702159146,821.7062205959226,70758.71917163729,64.22934961999204,74875.72737918704
2013-11-30,196834.4404948599,120491.39367099854,641.8947311739689,246.04305061857488,887.9377817925438,823.2293082418539,74248.76114888019,64.70847355068986,76343.04682386137
2013-12-31,199669.94284718615,120151.54840356554,642.4852342925841,249.58742855898268,892.0726628515667,823.8250566300749,73911.63277033833,68.24760622149188,79518.39444362061
2014-01-31,199966.2320961842,119811.23472488963,639.5456372356182,249.95779012023024,889.5034273558484,825.1756403554626,74421.93166972743,64.3277870003858,80154.99737129456
2014-02-28,201080.53040599424,119468.1476082297,641.8885397917672,251.3506630074928,893.23920279926,825.5610733577278,72056.3875942978,67.67812944153229,81612.38279776454
2014-03-31,202029.31451472404,119125.74344503767,643.0574430768648,252.53664314340506,895.5940862202699,826.5744903293256,74139.1460640798,69.01959589094429,82903.57106968637
2014-04-30,206946.96602195528,118783.24335890097,643.0574430768648,258.6837075274441,901.7411506043089,827.410524481617,74919.4885962896,74.33062612269191,88163.7226630543
2014-05-31,209628.78550270104,118439.87913611619,646.5455723835664,262.0359818783763,908.5815542619428,828.0967067433352,74740.57224931143,80.48484751860758,91188.90636658485
2014-06-30,211566.32253005775,118097.91903108735,647.7061930826164,264.45790316257217,912.1640962451886,829.135389440669,76914.99839483788,83.02870680451963,93468.4034989704
2014-07-31,215432.22930824207,117755.83220373503,650.6018144745915,269.2902866353026,919.8921011098942,830.3479700296218,76949.04749639278,89.54413108027234,97676.39710450704
2014-08-31,218277.80780623824,117414.73239515394,651.1796209009008,272.8472597577978,924.0268806586986,831.1951559505139,77067.92526127784,92.83172470818465,100863.0754110843
2014-09-30,218646.93953650485,117073.10882104555,651.7556029281405,273.30867442063106,925.0642773487716,832.1237149329152,80165.57681444786,92.94056241585645,101573.8307154593
2014-10-31,218397.52988325516,116730.95631356891,649.4614421218795,272.99691235406897,922.4583544759485,833.5481791252832,79544.66238708093,88.91017535066521,101666.57356968625
2014-11-30,217704.40198640907,116386.41284547155,644.9014830278115,272.13050248301136,917.0319855108229,835.4833594702909,81253.95597088322,81.54862604053199,101317.98914093751
2014-12-31,218515.1899285592,116037.98705625425,639.2443009661117,273.143987410699,912.3882883768108,837.3896149154905,84472.5091288026,74.99867346132032,102477.20287230496
2015-01-31,218342.34814427627,115684.92373520395,628.6023875519245,272.92793518034534,901.5303227322698,839.8707091827844,83268.9651190206,61.65961354948547,102657.42440907232
2015-02-28,218772.38839519105,115323.78934856041,626.936400666818,273.4654854939888,900.4018861608068,841.3275832026485,85151.82959655998,59.07430295815834,103448.59904663064
2015-03-31,218863.8315037465,114960.6748384909,621.419738693599,273.5797893796831,894.9995280732821,843.968984143579,87413.92211137706,51.030543929703185,103903.1566652556
2015-04-30,221539.8374281236,114592.89988094471,619.2282092421575,276.9247967851545,896.153006027312,847.138525875588,89633.00405553074,49.014480151724,106946.9375471789
2015-05-31,224065.35894755204,114222.77606920258,616.5046557663504,280.0816986844401,896.5863544507905,850.2073531974211,89137.75346677868,46.37900125336944,109842.58287834947
2015-06-30,225958.76842655533,113849.92324162481,614.8796686320547,282.4484605331942,897.3281291652489,851.6548179125284,89689.18634953098,45.67331125272051,112108.84518493051
2015-07-31,230488.97177208596,113475.11937610057,615.4190009715999,288.11121471510745,903.5302156867074,853.6487192890748,85009.05129304627,49.88149639763253,117013.85239598539
2015-08-31,232999.50392054385,113099.90975298743,615.4190009715998,291.2493799006798,906.6683808722796,856.9060811988151,86459.75641160761,49.762299673464554,119899.59416755642
2015-09-30,234200.52970900876,112723.90586880075,615.4190009715999,292.7506621362609,908.1696631078607,860.2057849799615,81749.8957112445,47.96387812789919,121476.623840208
2015-10-31,234778.12336644038,112347.10604221199,612.7560451457015,293.47265420805047,906.228699353752,861.6229308241853,80036.44981740254,44.6057685295666,122431.01732422839
2015-11-30,236871.1197072663,111967.59702230136,614.3468252841761,296.0888996340829,910.435724918259,863.5964453737586,84699.39059952919,46.839279544500414,124903.52268496495
2015-12-31,238418.71249346598,111588.44499875167,614.3468252841762,298.0233906168325,912.3702159010088,865.7832374978218,86221.03396858241,46.586978403187004,126830.26749471431
2016-01-31,240156.62118836064,111208.49654313255,611.192460182886,300.19577648545084,911.3882366683367,867.8252308764592,86508.00195243707,43.56300579187757,128948.12464522809
2016-02-29,240611.3615612479,110825.46934064286,612.2388032749534,300.76420195155987,913.0030052265133,869.8126851367834,84499.55543669684,43.19032008972988,129785.89222060505
2016-03-31,243423.4026833946,110442.4156943979,611.1966628094475,304.2792533542433,915.4759161636907,873.2303537201602,85452.42576890334,42.2455624435305,132980.9869889967
2016-04-30,243270.43770691793,110057.81252957173,607.0538021336056,304.0880471336474,911.1418492672531,875.6995992333159,89029.70374933779,35.44225003393717,133212.6251773462
2016-05-31,246368.54051228464,109669.38695356542,607.0538021336055,307.9606756403558,915.0144777739613,878.5558459661962,88668.13872354041,36.45863180776507,136699.1535587192
2016-06-30,248387.5168147764,109280.1897758644,607.0538021336054,310.48439601847053,917.5381981520759,881.4373584248126,89381.33065437393,36.10083972726329,139107.327038912
2016-07-31,251507.01916710252,108890.21946369324,601.9581300326955,314.3837739588782,916.3419039915736,884.7741766858338,96757.73226826031,31.567727305739822,142616.79970340928
2016-08-31,251362.36295521894,108495.68793243004,601.9581300326956,314.2029536940237,916.1610837267193,887.5652552709531,101642.38391736512,28.595828455766195,142866.6750227889
2016-09-30,251100.40808503254,108100.40485218438,599.9427869806516,313.8755101062907,913.8182970869423,890.2765290120229,103404.55887067618,23.541768074919332,143000.00323284816
2016-10-31,250489.72939536534,107702.85480391797,594.4413707686049,313.1121617442067,907.5535325128116,892.6454086077714,104908.64532265678,14.908123905040156,142786.87459144735
2016-11-30,251069.23627809755,107300.38538256237,594.938323554501,313.83654534762195,908.774868902123,895.2634605331939,109729.6906610462,13.511408368929096,143768.8508955352
2016-12-31,252036.72974385813,106897.57842295343,593.9488516454064,315.04591217982266,908.994763825229,897.453214845792,108044.02670159604,11.541548979437039,145139.1513209047
2017-01-31,252743.2244293434,106493.29260645105,589.0351172253694,315.92903053667925,904.9641477620487,899.4145321484577,111606.97307543273,5.549615613590959,146249.93182289234
2017-02-28,253404.21048963274,106084.49624232666,591.4787904707333,316.75526311204095,908.2340535827743,900.2308764593134,112606.97335281955,8.003177123460887,147319.71424730608
2017-03-31,252539.05976651018,105676.9020721004,591.9660263935568,315.6738247081377,907.6398511016946,902.2209444154034,117036.85459533751,5.418906686291166,146862.15769440978
2017-04-30,255551.64070395572,105268.97813491516,588.5744434724393,319.43955087994465,908.0139943523839,904.2697334030318,117889.11049527582,3.7442609493521104,150282.66256904055
2017-05-31,257048.90730092386,104857.70919259911,589.5382145526435,321.31113412615485,910.8493486787984,904.0806760759714,115711.39534414923,6.768672602826996,152191.19810832475
2017-06-30,258571.45216936778,104446.49919538714,589.5382145526435,323.21431521170973,912.7525297643532,905.8267990939188,118518.22069109057,6.925730670434405,154124.95297398063
2017-07-31,262061.26468025823,104034.58986622981,584.769622679979,327.5765808503228,912.3462035303018,908.6086426206656,118318.99871344291,3.7375609096361586,158026.67481402843
2017-08-31,262880.18661787803,103618.2357764012,586.6661918602763,328.60023327234757,915.2664251326239,909.259104373584,119827.65086314506,6.007320759039885,159261.95084147685
2017-09-30,262289.6623105074,103202.70352528719,586.1938777209989,327.86207788813425,914.0559556091332,909.213974560028,123062.42294180741,4.841981049105243,159086.9587852202
2017-10-31,261963.69768252343,102786.11271317542,582.9079320730945,327.4546221031543,910.3625541762488,910.3810768426556,120467.99597532391,-0.018522666406852295,159177.584969348
2017-11-30,260398.77853284578,102366.23284078836,586.1789639595141,325.49847316605724,911.6774371255714,911.563861299878,124225.73900749258,0.1135758256933741,158032.5456920574
2017-12-31,261313.15072312285,101948.28228860114,587.5773003048288,326.6414384039036,914.2187387087324,912.5861648370797,124214.04216345845,1.6325738716527667,159364.86843452172
2018-01-31,261216.97543126016,101530.74928799823,588.5062045708424,326.5212192890752,915.0274238599177,911.783237497822,126289.58142056943,3.244186362095661,159686.22614326194
2018-02-28,261362.2136260676,101113.25225160057,589.4315894702864,326.7027670325845,916.134356502871,913.5131556020212,126903.36004617083,2.6212009008497716,160248.961374467
2018-03-31,259468.1935877334,100695.7807989899,589.8924255703176,324.33524198466677,914.2276675549845,912.5450426903642,125463.63160185167,1.6826248646202657,158772.4127887435
2018-04-30,261501.63565081058,100277.96208527334,591.7290437232197,326.8770445635132,918.6060882867329,912.9074751698902,120583.70556740306,5.698613116842694,161223.67356553726
2018-05-31,262462.39919846697,99860.8725822809,592.1865125419466,328.07799899808373,920.2645115400303,912.9911134343962,123978.04500437816,7.273398105634101,162601.52661618608
2018-06-30,263910.7694720338,99443.4155869399,592.6420220958909,329.8884618400422,922.530483935933,913.7565778010108,128484.03114474284,8.773906134922186,164467.35388509388
2018-07-31,266895.88586861856,99025.58552013244,591.7354517051151,333.6198573357732,925.3553090408883,915.651507231225,128790.77317292929,9.703801809663332,167870.3003484861
2018-08-31,266821.4235929608,98606.30852705783,592.1865096554201,333.526779491201,925.713289146621,917.0573270604634,133531.10012918012,8.655962086157615,168215.115065903
2018-09-30,266113.8440494863,98186.65638683428,592.1865096554201,332.6423050618578,924.828814717278,918.5981878376024,135817.90282293942,6.230626879675583,167927.187662652
2018-10-31,266022.95678689703,97766.26996887053,592.6334559303849,332.5286959836213,925.1621519140062,920.6084683742812,135951.84573392628,4.553683539725057,168256.6868180265
2018-11-30,264903.03903119045,97345.5002076216,593.0784269096024,331.1287987889881,924.2072256985905,923.0047046523785,128343.8183359569,1.2025210462120413,167557.53882356884
2018-12-31,263982.4021606555,96924.3414572682,593.5214192313097,329.97800270081933,923.499421932129,924.4931172678166,130397.88854178676,-0.993695335687562,167058.06070338728
2019-01-31,262634.6272869841,96502.78805687535,591.7590163288852,328.2932841087302,920.0523004376154,925.2890747516988,121419.2071554784,-5.236774314083391,166131.83923010877
2019-02-28,261795.04042516154,96079.09390978626,591.3209721661665,327.24380053145194,918.5647726976184,926.9440669106116,126820.39018170937,-8.379294212993159,165715.94651537528
2019-03-31,260213.28715804179,95654.31440525055,592.6291375489373,325.26660894755224,917.8957464964894,927.3200906081198,128756.89361646055,-9.424344111630376,164558.97275279125
2019-04-30,262099.5337166757,95229.83634773303,591.7611643740169,327.62441714584463,919.3855815198615,928.0381599581808,133059.56207316852,-8.652578438319324,166869.69736894267
2019-05-31,261316.96027182476,94803.92313776293,590.8981265631063,326.64620033978093,917.5443269028872,931.7381076842656,137466.39735137744,-14.19378078137845,166513.03713406183
2019-06-30,263092.4321310336,94376.58096550404,588.3256760934922,328.86554016379205,917.1912162572843,931.8294127896846,133722.11107518128,-14.638196532400343,168715.85116552957
2019-07-31,266164.21362606756,93946.44254544613,589.6047328441637,332.70526703258446,922.3099998767482,933.116048092002,141071.64141675457,-10.806048215253782,172217.77108062143
