start_date,months,nw_buy,nw_rent,R,winner,mortgage_rate,pr_ratio,sdlt_paid
2006-05-31,60,33136.41489212832,53015.4187812548,1.5999141414012417,RENT,0.054204999999999996,20.404567281141173,1751.110791078585
2006-06-30,60,30038.89554388501,56130.90853573315,1.8686076008929584,RENT,0.054720000000000005,20.583606343586357,1768.9381285938318
2006-07-31,60,28717.78678564928,56195.591930722665,1.9568218244034203,RENT,0.054695,20.777276728315094,1789.1461787767903
2006-08-31,60,30348.96301384506,57968.48245448857,1.9100646841885047,RENT,0.055595000000000006,20.902212295279536,1803.0145617703436
2006-09-30,60,29870.864986332774,55620.552144261135,1.862033528982504,RENT,0.055439999999999996,20.93980637192692,1809.553484927688
2006-10-31,60,28745.6287148305,51249.92842847798,1.7828772832523583,RENT,0.05514,21.010066517323313,1817.7250583725386
2006-11-30,60,26454.85452632312,48920.99454850634,1.8492256118750892,RENT,0.05612,21.051524973371848,1824.6982052622407
2006-12-31,60,24234.773497899238,53416.197459870986,2.2041137485564413,RENT,0.05611,21.28775708779791,1849.8902892489984
2007-01-31,60,23588.630030956323,53499.0534520025,2.268001718700641,RENT,0.057640000000000004,21.266925266456447,1853.1591792995296
2007-02-28,60,22390.403486780007,54763.77891528753,2.445859403454778,RENT,0.058785,21.316063919269954,1860.440653423941
2007-03-31,60,21056.62517653976,57890.67981417909,2.7492857629758256,RENT,0.05895,21.42608205510687,1874.1180048788985
2007-04-30,60,18274.218246051605,61701.381972291114,3.376417045124354,RENT,0.0601,21.690973125978637,1902.8423749782191
2007-05-31,60,19251.586600831564,62220.250684286366,3.2319544344256173,RENT,0.05974,21.922652024955767,1926.508111169193
2007-06-30,60,17840.739455396426,62631.57440130595,3.5105929638113347,RENT,0.062815,22.117086679172523,1947.3335232618922
2007-07-31,60,16227.270323774923,63429.50753845557,3.908821771800007,RENT,0.06473,22.411867860634768,1978.680900853807
2007-08-31,60,16599.04227247383,66740.55970634695,4.020747619699886,RENT,0.06511,22.454013513013688,1988.6626537724344
2007-09-30,60,16613.941821853048,67347.4585115588,4.053671261986347,RENT,0.06454,22.463193476227286,1995.704790033107
2007-10-31,60,16097.489753523783,66457.31333509856,4.128427124518025,RENT,0.0645,22.390155415569996,1995.0492246035892
2007-11-30,60,15769.40762116955,65684.91102814113,4.165337887516003,RENT,0.06327999999999999,22.296374011039333,1992.931728524133
2007-12-31,60,15847.729698758165,65983.39861505607,4.16358682721769,RENT,0.063165,22.197590910059013,1990.3736190974041
2008-01-31,60,18034.714326855697,64070.379283278904,3.5526140376879147,RENT,0.06141,21.887201776132898,1972.0847046523784
2008-02-29,60,18641.472276925022,64916.643728307936,3.4823775055934676,RENT,0.060265000000000006,21.639391324373197,1952.3260202125803
2008-03-31,60,20031.09256672536,69027.55423686208,3.446020430833971,RENT,0.06090500000000001,21.437902227780008,1938.561923680084
2008-04-30,60,19995.714799669862,74888.30898048346,3.745217899473136,RENT,0.063835,21.42072453335389,1940.6518017076146
2008-05-31,60,21499.019165476755,76125.56475474552,3.540885478021638,RENT,0.06588500000000001,21.440039650345362,1946.1674281233663
2008-06-30,60,23865.751683827053,75832.50494907028,3.1774614080334707,RENT,0.06801499999999999,21.10221127281928,1921.0910419933784
2008-07-31,60,26162.31014295388,79733.86675000032,3.047661552604693,RENT,0.067935,20.951235402014046,1910.8429133995471
2008-08-31,60,33336.30569599368,73435.00070543446,2.202853590770251,RENT,0.066455,20.368456400352784,1861.7420770169022
2008-09-30,60,38498.14850418581,70839.32604971911,1.8400709852843162,RENT,0.06533,19.851282227674982,1819.1777295696115
2008-10-31,60,42957.36718677101,69992.41929223915,1.6293461139721281,RENT,0.06709999999999999,19.30984828342061,1775.1901864436313
2008-11-30,60,46454.81740364511,69276.32801680455,1.491262518908722,RENT,0.0688,18.702004746126182,0.0
2008-12-31,60,49626.7331254149,71859.10937138187,1.447991935914502,RENT,0.0699,18.368348785460473,0.0
2009-01-31,60,55750.48801555773,61455.810331791756,1.1023367242030582,RENT,0.0643,18.010368100966318,0.0
2009-02-28,60,57871.94250170939,62267.73857876854,1.0759572927231416,RENT,0.06269999999999999,17.79112465678471,0.0
2009-03-31,60,60095.11521417991,63057.37426974368,1.0492928426046981,RENT,0.06394999999999999,17.622000315616766,0.0
2009-04-30,60,60073.774477696774,63246.21118985593,1.0528090125806389,RENT,0.0652,17.70693524972632,0.0
2009-05-31,60,62976.07961619645,63041.80903895398,1.0010437204595477,RENT,0.06645,17.92568247540042,0.0
2009-06-30,60,63850.98634096637,64262.200167179435,1.0064402110253579,RENT,0.0677,18.12557664276011,0.0
2009-07-31,60,63094.347994715645,68722.96136568744,1.0892094704179083,RENT,0.0677,18.48526760370635,0.0
2009-08-31,60,65203.18804203736,66713.50896526755,1.023163298737118,RENT,0.0674,18.72337366802207,0.0
2009-09-30,60,66150.6045814864,68823.2506025696,1.0404024428497998,RENT,0.0672,18.986328879953593,1756.272540512284
2009-10-31,60,65433.632216632715,70603.57239178885,1.0790104415729191,RENT,0.06849999999999999,19.137891436781036,1766.6500714410176
2009-11-30,60,64728.977034360025,72095.93779338976,1.1138124082374907,RENT,0.0692,19.20891843767737,1770.806830458268
2009-12-31,60,62915.413236316585,72621.85985185821,1.1542777217258868,RENT,0.0694,19.391197377261722,1783.8377051751177
2010-01-31,60,62401.95422980652,74576.99562087518,1.1951067324948168,RENT,0.0691,19.606629676112465,1799.8783551141312
2010-02-28,60,61875.460538944346,74770.26691150687,1.2083993599441016,RENT,0.0692,19.68198122131491,1803.911914967764
2010-03-31,60,62528.93957769411,70614.0894030823,1.1293025258383302,RENT,0.0691,19.661444586475106,0.0
2010-04-30,60,61008.876988775824,71498.56077182872,1.17193700819936,RENT,0.0695,19.868500063203253,0.0
2010-05-31,60,62909.27260656041,73598.93454640484,1.1699218810984897,RENT,0.0693,19.961068060152805,0.0
2010-06-30,60,64566.05581016617,74806.0035376394,1.1585964575191057,RENT,0.069,20.057497160041386,0.0
2010-07-31,60,64456.90103680597,77952.23408268444,1.2093698708563791,RENT,0.0682,20.310684912278788,0.0
2010-08-31,60,69085.24036383114,71075.80801447522,1.0288132116232198,RENT,0.0665,20.294004747301777,0.0
2010-09-30,60,72159.40029620516,71476.74907595347,0.9905396771945236,BUY,0.0657,20.20980668890114,0.0
2010-10-31,60,75351.40907539392,62955.711856362184,0.8354948185955083,BUY,0.0644,19.942487688575227,0.0
2010-11-30,60,77523.28515774099,59823.138847615395,0.7716796150458523,BUY,0.0646,19.689576566452693,0.0
2010-12-31,60,79653.70258797871,62793.66380610447,0.7883332697152141,BUY,0.0645,19.63743767680183,0.0
2011-01-31,60,82015.23150010896,61300.35922531435,0.7474265219288311,BUY,0.06480000000000001,19.450569565154115,0.0
2011-02-28,60,84818.32025163158,59110.34208059454,0.6969053608375071,BUY,0.0622,19.341434120286618,0.0
2011-03-31,60,85707.85047720096,56803.531777776334,0.6627576291029089,BUY,0.0621,19.252446731767282,0.0
2011-04-30,60,86245.0183566648,58734.85649376714,0.6810231780677481,BUY,0.06280000000000001,19.482844272086435,0.0
2011-05-31,60,87480.14716476641,59692.49242264692,0.6823547325568369,BUY,0.0623,19.289754712918803,0.0
2011-06-30,60,90498.56070540193,58504.723435007014,0.6464713137864835,BUY,0.0607,19.28698564216492,0.0
2011-07-31,60,89996.50611468192,60020.80589023905,0.6669237338364553,BUY,0.0605,19.571576124852825,0.0
2011-08-31,60,93485.30067628506,63984.75587115429,0.6844365414485495,BUY,0.057999999999999996,19.532270420510265,0.0
2011-09-30,60,94202.67224330275,67131.52101939292,0.7126286274131207,BUY,0.05569999999999999,19.423619558453098,0.0
2011-10-31,60,95162.43202343327,69412.32270364823,0.7294088773031335,BUY,0.0561,19.227754462402146,0.0
2011-11-30,60,94554.79240894003,67867.77678837637,0.7177613641713158,BUY,0.0567,19.16812986932742,0.0
2011-12-31,60,95045.87082114891,71418.05528396716,0.7514061859494872,BUY,0.0575,19.10001522351954,0.0
2012-01-31,60,96168.57518572258,69988.02409290682,0.7277639702755773,BUY,0.0583,19.011162438721747,0.0
2012-02-29,60,96871.1686154707,70800.04676035055,0.7308680980343156,BUY,0.059000000000000004,18.960330585451747,0.0
2012-03-31,60,97374.28889914561,74240.65256287926,0.7624256197626585,BUY,0.060599999999999994,18.916129129512072,1808.2660550618573
2012-04-30,60,94005.61811677134,78862.31171577847,0.8389106235950469,BUY,0.060899999999999996,19.177795812627267,1837.6975971423597
2012-05-31,60,95691.61203467165,83421.89454772486,0.8717785475021453,BUY,0.0637,19.235665526446102,1846.9834657605852
2012-06-30,60,96647.61987702543,80993.32288402069,0.838027082167949,BUY,0.06,19.346225005673364,1860.9769942498694
2012-07-31,60,96812.42380013576,83242.8107115688,0.859836035955667,BUY,0.0613,19.443409118026707,1874.0275274438056
2012-08-31,60,99629.52274731998,83245.56034819585,0.8355511303544325,BUY,0.0623,19.463847799945434,1879.14629203694
2012-09-30,60,101072.55208586957,82378.63485349744,0.8150445709880751,BUY,0.061500000000000006,19.34639450227894,1873.2499930301447
2012-10-31,60,101502.87622146349,81088.51602728678,0.7988789977770112,BUY,0.0594,19.226364104712147,1865.7778306325142
2012-11-30,60,101317.55472418896,79070.96095515892,0.780427056006329,BUY,0.0594,19.18736524305946,1864.1665743160827
2012-12-31,60,99979.48560225367,78356.66851004805,0.7837274620692967,BUY,0.056900000000000006,19.184098127833185,1867.422029970378
2013-01-31,60,102996.1042353035,72268.13129278149,0.7016588814629211,BUY,0.0516,19.022566397431515,1854.513080676076
2013-02-28,60,102866.20883778151,69253.95751719014,0.6732430241149706,BUY,0.050300000000000004,19.039156635755525,1858.162768775048
2013-03-31,60,102559.06467239035,67458.35738922984,0.6577512929229173,BUY,0.049699999999999994,19.093697850353582,1865.114725561945
2013-04-30,60,98734.07384993686,67191.43934580467,0.6805293930029368,BUY,0.049699999999999994,19.303747520608148,1888.8986373932742
2013-05-31,60,100336.26133109289,64122.645805947664,0.6390774875929816,BUY,0.049100000000000005,19.338373843532196,1895.2249294302144
2013-06-30,60,100131.28069746608,65465.81080798144,0.6537997951487113,BUY,0.0489,19.46794522810963,1909.6599006795607
2013-07-31,60,99238.3822977074,70481.88035044399,0.710228025876156,BUY,0.048799999999999996,19.723956409184726,1937.9784195852938
2013-08-31,60,101137.93177278191,68768.14439387352,0.6799441434927612,BUY,0.04819999999999999,19.835749457641963,1952.09821397456
2013-09-30,60,100102.16899394308,73810.55655294946,0.7373522201843153,BUY,0.0486,19.925123569412737,1962.6882070047045
2013-10-31,60,100185.3966776572,72987.50463974432,0.7285243863891552,BUY,0.0472,19.847574267797512,1957.0650287506533
2013-11-30,60,99820.26380526312,68974.32446916898,0.6909851951877154,BUY,0.04438,19.925031673458545,1968.3444049485972
2013-12-31,60,96377.34667754968,66762.9819588485,0.6927248389833541,BUY,0.044455,20.197445768396562,1996.6994284718598
2014-01-31,60,95112.35611292475,67901.57468947688,0.7139090804233561,BUY,0.044950000000000004,20.194309986542596,1999.66232096184
2014-02-28,60,92743.35697988057,65333.279064870156,0.7044523855120247,BUY,0.045500000000000006,20.2973606774035,2010.8053040599405
2014-03-31,60,91094.31920766886,67499.66748825987,0.7409865738650512,BUY,0.04569,20.368129438464248,2020.2931451472382
2014-04-30,60,85152.77515710416,71773.182550637,0.8428754367455171,BUY,0.04713,20.84283435074041,2069.4696602195504
2014-05-31,60,84737.80983163585,75761.90559630892,0.8940743895415635,BUY,0.04737500000000001,21.095441288806935,2096.287855027008
2014-06-30,60,82393.16613638424,77723.5279254152,0.9433249330018528,BUY,0.047295,21.263749083727166,2115.663225300575
2014-07-31,60,80852.65894709199,77854.54929448577,0.9629188490316922,BUY,0.04769999999999999,21.620677623919978,2154.3222930824186
2014-08-31,60,81547.14373327213,83347.19992129972,1.022073810382805,RENT,0.04761,21.88393085181725,2182.7780780623802
2014-09-30,60,80941.12537531089,84406.55247875169,1.0428141700201496,RENT,0.04721,21.896477612319508,2186.469395365046
2014-10-31,60,82719.68430031074,81076.46557126036,0.9801350942892295,BUY,0.045405,21.83412382477589,2183.975298832549
2014-11-30,60,82314.58725337297,79505.19339556052,0.9658700365080513,BUY,0.044805000000000005,21.7144163234678,2177.044019864088
2014-12-31,60,80477.42173322474,75213.75798048926,0.934594528013285,BUY,0.04431,21.745671114575458,1870.303798571179
2015-01-31,60,82841.68736438657,75047.86465129728,0.9059190733427789,BUY,0.041734999999999994,21.664281751644914,1866.8469628855203
2015-02-28,60,81930.72158363677,74426.46780929143,0.9084073271991773,BUY,0.041335,21.669362481694165,1875.447767903816
2015-03-31,60,80867.38194650502,72104.40190487842,0.8916376438719948,BUY,0.0408,21.61057215132134,1877.2766300749256
2015-04-30,60,81591.68384295251,68309.37431173318,0.837210008353485,BUY,0.04053000000000001,21.79295658868617,1930.796748562468
2015-05-31,60,77626.71384413881,61791.031343131406,0.7960021529083049,BUY,0.040150000000000005,21.961834575304586,1981.3071789510368
2015-06-30,60,75676.18128424688,67577.0142932353,0.8929760083877603,BUY,0.03997,22.109776135633354,2019.1753685311019
2015-07-31,60,75102.17314962664,76609.42852811137,1.0200693976655217,RENT,0.040069999999999995,22.50037267125119,2109.779435441714
2015-08-31,60,75546.55822481861,79707.714640015,1.055080688160713,RENT,0.040475,22.658988835215208,2159.990078410872
2015-09-30,60,77498.67171073685,81350.92300730573,1.0497073202873384,RENT,0.03962,22.688420782404624,2184.01059418017
2015-10-31,60,79416.90046466349,85512.22812650676,1.076751014282601,RENT,0.039405,22.70696718244866,2195.5624673288025
2015-11-30,60,77787.77853917103,83259.68292645608,1.0703440114892804,RENT,0.03914,22.857041713577793,2237.422394145321
2015-12-31,60,79812.5779476206,80601.74045531866,1.0098876959996954,RENT,0.03888500000000001,22.948268320073737,2268.3742498693146
2016-01-31,60,80552.09508208011,87250.02195658092,1.0831502503774213,RENT,0.037965,23.06115454316134,2303.132423767207
2016-02-29,60,79745.29274627013,90518.7207769314,1.1350979808292843,RENT,0.038135,23.05202848773986,2312.2272312249524
